"Year","PC1","Fishing","Temperature"
1987,-2.15412723457605,1.57592231913512,10.427960996571
1988,-2.52064687153323,1.67213912347285,10.2392082130625
1989,-2.11217033532078,1.76935542228963,9.75070933772695
1990,-1.96627836366311,1.9386677341627,9.49832503511083
1991,-2.28232402578792,2,9.12333210912422
1992,-2.87917283056159,1.95641844817897,9.55694992429976
1993,-3.15991853386188,1.922650674755,9.7745451148351
1994,-1.0491902930538,1.8835097524487,10.1932893314337
1995,-3.21858738593669,1.83272106277441,9.9543031387102
1996,-1.91824347980464,1.63536799102893,9.75014111162651
1997,-2.59645816678713,1.54857235236607,9.19650377696646
1998,-1.45022572161412,1.47222226499049,8.93309527487956
1999,-0.0595068076578241,1.43066331021281,9.32039267545655
2000,-1.69839635156415,1.91507632853217,10.1073397958279
2001,-0.826225330870136,1.88612640076778,10.5741508594013
2002,-0.0685208434422381,1.63959460811862,10.7666687001501
2003,2.07518670181623,1.74225667634085,10.0543936665569
2004,1.89465515730823,1.61401781383998,10.2487875009718
2005,3.39751749918801,1.46041770914326,9.79485246986538
2006,1.81598629273252,1.36696433382859,9.8251758589631
2007,2.21916925746071,1.23565847312143,10.3042958135264
2008,3.15094523612843,1.12129577594901,9.14938144796101
2009,2.57905171266404,1.16439875082436,10.8556871807008
2010,1.5309771376028,1.22545054234444,10.4051052212715
2011,1.73048012583859,1.01108912822013,10.6623439905189
2012,2.2883264991262,1.09029528069244,10.6758023302328
2013,3.07371350603958,1.03633643574367,10.2791113050211
2014,2.58601127505012,1.00513219244695,11.2532944304602
2015,1.61797217507977,1,11.1175047913052
